Wavelength,AKL,QDL,,,OFFSET:,Wavelength,Mit QDL,D QDL,,PHI Ref,D REF,Referenz,,Korrekturfaktoren
300,0.002351,0.000465,,,,380,0.044703,17.190132,,810.896,0.296,0.084,,1.87184238194305
301,0.002739,0.008314,,,,385,0.057575,17.987131,,905.977,0.373,0.106,,1.84452922275293
302,0.002763,-0.018929,,,,390,0.068387,18.845312,,1005.381,0.447,0.128,,1.87013642943834
303,0.003079,0.022859,,,,395,0.082084,23.322887,,1115.520,0.542,0.156,,1.90615771648555
304,0.003345,0.019223,,,,400,0.110375,33.492584,,1225.781,0.713,0.206,,1.86638930917327
305,0.003126,-0.014081,,,,405,0.144605,77.693794,,1358.344,0.918,0.270,,1.86995553404101
306,0.003588,0.049526,,,,410,0.170181,83.496223,,1480.241,1.143,0.339,,1.99097190638203
307,0.003951,0.039253,,,,415,0.19932,68.182281,,1615.892,1.371,0.412,,2.06682620911098
308,0.003708,0.063495,,,,420,0.242738,66.382286,,1749.518,1.617,0.495,,2.03747291318211
309,0.003757,0.081041,,,,425,0.294326,78.89138,,1890.761,1.898,0.586,,1.9895140762284
310,0.002787,0.041677,,,,430,0.314181,90.015007,,2034.314,2.036,0.638,,2.02938277617042
311,0.002739,0.059223,,,,435,0.331611,107.034409,,2187.975,2.186,0.690,,2.08144108609184
312,0.002448,0.02892,,,,440,0.358205,129.274399,,2344.563,2.349,0.756,,2.11046492930026
313,0.00269,0.021071,,,,445,0.41166,94.68589,,2517.036,2.581,0.845,,2.05376519457805
314,0.003854,0.089526,,,,450,0.476072,79.471344,,2690.834,2.879,0.954,,2.00320094439497
315,0.003927,0.116193,,,,455,0.519345,64.762253,,2861.218,3.071,1.034,,1.99045305143979
316,0.004484,0.127737,,,,460,0.546497,55.900433,,3032.007,3.214,1.096,,2.00518341363265
317,0.004969,0.16589,,,,465,0.573188,46.958618,,3214.846,3.445,1.193,,2.08082171992435
318,0.005066,0.16895,,,,470,0.640921,49.890739,,3396.338,3.890,1.363,,2.12673714857213
319,0.00429,0.158041,,,,475,0.768823,57.353188,,3595.443,4.584,1.631,,2.12093350485092
320,0.003685,0.211951,,,,480,0.936702,59.661072,,3794.096,5.475,1.978,,2.1111973178236
321,0.002593,0.221071,,,,485,1.112944,72.058647,,3994.588,6.473,2.364,,2.12439235936399
322,0.002715,0.25195,,,,490,1.227902,73.446533,,4193.333,7.243,2.679,,2.18184886904655
323,0.003806,0.287102,,,,495,1.29166,57.04953,,4410.142,7.681,2.883,,2.23225885294892
324,0.004169,0.31804,,,,500,1.319151,48.603462,,4624.403,7.908,3.005,,2.27828510155395
325,0.005697,0.394981,,,,505,1.346618,41.86771,,4844.251,8.045,3.087,,2.29214013922285
326,0.005429,0.412586,,,,510,1.435611,39.850159,,5062.954,8.400,3.263,,2.27256323614127
327,0.004823,0.424707,,,,515,1.618884,41.60289,,5277.815,9.193,3.618,,2.23503750114276
328,0.00526,0.431344,,,,520,1.875176,44.539227,,5493.997,10.261,4.080,,2.17566414565886
329,0.004848,0.516828,,,,525,2.053794,45.727104,,5715.639,11.023,4.432,,2.15781070058633
330,0.004848,0.596193,,,,530,2.117769,47.394405,,5936.067,11.239,4.575,,2.16036259856481
331,0.005188,0.684678,,,,535,2.10235,57.619858,,6170.850,11.170,4.592,,2.18434366780032
332,0.004993,0.825919,,,,540,2.079418,74.272552,,6409.772,11.038,4.591,,2.20767783100848
333,0.005091,0.929526,,,,545,2.076121,122.242249,,6632.497,10.926,4.592,,2.21193258003748
334,0.005308,1.076828,,,,550,2.098254,179.951996,,6852.840,10.841,4.607,,2.19541442075173
335,0.00492,1.172586,,,,555,2.149308,128.505905,,7089.738,10.864,4.661,,2.16869472406933
336,0.005503,1.242254,,,,560,2.224048,85.118614,,7324.727,10.895,4.724,,2.12403051103214
337,0.005502,1.25501,,,,565,2.259854,67.924675,,7564.527,10.840,4.745,,2.09979531863563
338,0.006497,1.316193,,,,570,2.254375,64.848946,,7803.392,10.674,4.720,,2.09378628666482
339,0.007394,1.340435,,,,575,2.210958,92.147705,,8045.021,10.422,4.660,,2.10757608692702
340,0.007951,1.41501,,,,580,2.153211,86.784698,,8289.582,10.132,4.575,,2.12482589026343
341,0.008291,1.540436,,,,585,2.104799,64.572594,,8513.845,9.882,4.506,,2.14088321022577
342,0.007805,1.59198,,,,590,2.071636,47.868919,,8737.641,9.656,4.444,,2.14529384988483
343,0.008242,1.659859,,,,595,2.058641,38.18713,,8967.311,9.505,4.414,,2.14400820249864
344,0.007854,1.775587,,,,600,2.0592,31.085892,,9197.970,9.369,4.395,,2.13432189685315
345,0.008145,1.86107,,,,605,2.061503,26.501646,,9418.959,9.197,4.352,,2.11122621213745
346,0.008848,1.970738,,,,610,1.998908,22.582285,,9642.723,8.788,4.201,,2.10140707826473
347,0.009018,2.042253,,,,615,1.976339,20.163464,,9854.272,8.552,4.126,,2.08749561689568
348,0.009672,2.144707,,,,620,2.061478,19.325314,,10067.460,8.873,4.312,,2.09164618298134
349,0.010618,2.210738,,,,625,2.166133,18.976797,,10287.600,9.398,4.607,,2.12670565011474
350,0.01086,2.372586,,,,630,2.163418,17.909557,,10511.830,9.416,4.661,,2.15430330153489
351,0.010617,2.484101,,,,635,2.091879,16.358616,,10728.550,9.105,4.540,,2.17039431056959
352,0.010933,2.678617,,,,640,2.008314,14.827132,,10944.640,8.706,4.376,,2.17908892732909
353,0.011078,3.00895,,,,645,1.930618,13.561042,,11156.340,8.339,4.228,,2.19022759551605
354,0.011297,3.274981,,,,650,1.881987,12.522889,,11364.190,8.001,4.090,,2.17299448933494
355,0.012363,3.437406,,,,655,1.842473,11.545283,,11562.930,7.679,3.957,,2.14791652849187
356,0.013138,3.738647,,,,660,1.805018,10.678617,,11763.340,7.422,3.853,,2.13443794466316
357,0.014157,4.039829,,,,665,1.776945,9.993192,,11944.010,7.145,3.738,,2.10335049199609
358,0.015611,4.425919,,,,670,1.737697,9.359828,,12128.030,6.853,3.615,,2.08021454258136
359,0.01612,4.808949,,,,675,1.697284,8.567737,,12326.040,6.590,3.499,,2.06135382764464
360,0.017042,5.50286,,,,680,1.618569,7.806525,,12513.910,6.255,3.348,,2.06864071287662
361,0.017793,6.521677,,,,685,1.539054,6.971951,,12682.960,5.932,3.201,,2.08007195978829
362,0.018376,8.163466,,,,690,1.461357,6.223495,,12849.170,5.624,3.053,,2.08895820117877
363,0.019127,9.358616,,,,695,1.379151,5.628344,,13005.720,5.351,2.926,,2.12193629269021
364,0.020872,10.566525,,,,700,1.299563,4.88589,,13160.820,5.056,2.787,,2.14434632257151
365,0.022109,11.538011,,,,705,1.250811,4.280465,,13312.250,4.845,2.684,,2.14541735721864
366,0.023538,12.49501,,,,710,1.185017,3.667131,,13470.130,4.568,2.556,,2.15731952368616
367,0.023709,13.797406,,,,715,1.153357,3.30286,,13641.800,4.416,2.483,,2.15312284921321
368,0.024339,15.072556,,,,720,1.093794,2.727102,,13817.110,4.145,2.344,,2.14279513327007
369,0.025866,16.856222,,,,725,1.042109,2.170738,,13957.200,3.906,2.223,,2.13347937691739
370,0.027127,17.93195,,,,730,1.013454,1.833192,,14099.710,3.733,2.134,,2.10539894262591
371,0.028775,18.235615,,,,735,0.992605,1.423495,,14222.780,3.576,2.062,,2.07727888737212
372,0.029526,18.212585,,,,740,0.965551,1.087737,,14343.940,3.428,1.985,,2.05633143148316
373,0.0304,17.974375,,,,745,0.933212,0.954981,,14460.970,3.251,1.896,,2.03142074898308
374,0.031926,17.657434,,,,750,0.888169,0.774375,,14575.280,3.040,1.783,,2.00746419881802
375,0.033212,17.312555,,,,755,0.867491,0.660435,,14730.630,2.950,1.737,,2.00198710995273
376,0.03486,17.093798,,,,760,0.874254,0.674981,,14879.160,2.939,1.742,,1.99244907086499
377,0.036169,16.982283,,,,765,0.889018,0.712557,,14978.680,2.978,1.780,,2.00273031592161
378,0.038376,16.928312,,,,770,0.847709,0.569526,,15071.270,2.872,1.723,,2.03207335300203
379,0.041454,17.031981,,,,775,0.781527,0.578011,,15164.620,2.665,1.602,,2.05024265316489
380,0.044703,17.190132,,,,780,0.704751,0.434981,,15254.460,2.417,1.458,,2.06949243065991
381,0.04686,17.34407,,,,,,,,,,,,
382,0.049745,17.50592,,,,,,,,,,,,
383,0.052727,17.694374,,,,,,,,,,,,
384,0.055587,17.850159,,,,,,,,,,,,
385,0.057575,17.987131,,,,,,,,,,,,
386,0.060872,18.237404,,,,,,,,,,,,
387,0.062957,18.327736,,,,,,,,,,,,
388,0.064824,18.513767,,,,,,,,,,,,
389,0.066981,18.70713,,,,,,,,,,,,
390,0.068387,18.845312,,,,,,,,,,,,
391,0.071394,19.438618,,,,,,,,,,,,
392,0.074181,20.079254,,,,,,,,,,,,
393,0.0768,21.101648,,,,,,,,,,,,
394,0.080169,22.314405,,,,,,,,,,,,
395,0.082084,23.322887,,,,,,,,,,,,
396,0.086885,25.130737,,,,,,,,,,,,
397,0.092557,27.0938,,,,,,,,,,,,
398,0.098569,29.237406,,,,,,,,,,,,
399,0.1032,30.845892,,,,,,,,,,,,
400,0.110375,33.492584,,,,,,,,,,,,
401,0.116921,36.849522,,,,,,,,,,,,
402,0.124678,42.925308,,,,,,,,,,,,
403,0.133042,53.822857,,,,,,,,,,,,
404,0.13726,62.825283,,,,,,,,,,,,
405,0.144605,77.693794,,,,,,,,,,,,
406,0.151539,89.725883,,,,,,,,,,,,
407,0.155951,94.394402,,,,,,,,,,,,
408,0.162957,93.276192,,,,,,,,,,,,
409,0.165891,89.655594,,,,,,,,,,,,
410,0.170181,83.496223,,,,,,,,,,,,
411,0.175976,78.186501,,,,,,,,,,,,
412,0.180896,74.524094,,,,,,,,,,,,
413,0.187612,71.815582,,,,,,,,,,,,
414,0.192072,70.32589,,,,,,,,,,,,
415,0.19932,68.182281,,,,,,,,,,,,
416,0.207418,66.121048,,,,,,,,,,,,
417,0.21532,64.890167,,,,,,,,,,,,
418,0.22526,64.593773,,,,,,,,,,,,
419,0.232776,64.996193,,,,,,,,,,,,
420,0.242738,66.382286,,,,,,,,,,,,
421,0.254812,68.769531,,,,,,,,,,,,
422,0.263732,70.920471,,,,,,,,,,,,
423,0.276751,74.050751,,,,,,,,,,,,
424,0.284873,76.376793,,,,,,,,,,,,
425,0.294326,78.89138,,,,,,,,,,,,
426,0.302424,81.014381,,,,,,,,,,,,
427,0.305963,82.713196,,,,,,,,,,,,
428,0.307588,84.356201,,,,,,,,,,,,
429,0.311732,87.456215,,,,,,,,,,,,
430,0.314181,90.015007,,,,,,,,,,,,
431,0.316679,92.845894,,,,,,,,,,,,
432,0.320896,95.44532,,,,,,,,,,,,
433,0.323176,98.178009,,,,,,,,,,,,
434,0.328726,103.562889,,,,,,,,,,,,
435,0.331611,107.034409,,,,,,,,,,,,
436,0.335733,113.317413,,,,,,,,,,,,
437,0.341745,120.66713,,,,,,,,,,,,
438,0.345939,125.414375,,,,,,,,,,,,
439,0.351272,128.693802,,,,,,,,,,,,
440,0.358205,129.274399,,,,,,,,,,,,
441,0.367539,124.913788,,,,,,,,,,,,
442,0.377478,116.947144,,,,,,,,,,,,
443,0.389139,108.471336,,,,,,,,,,,,
444,0.397987,99.981071,,,,,,,,,,,,
445,0.41166,94.68589,,,,,,,,,,,,
446,0.419297,91.794983,,,,,,,,,,,,
447,0.429914,87.673187,,,,,,,,,,,,
448,0.443224,84.582855,,,,,,,,,,,,
449,0.460314,82.229553,,,,,,,,,,,,
450,0.476072,79.471344,,,,,,,,,,,,
451,0.492557,76.920471,,,,,,,,,,,,
452,0.501187,74.790771,,,,,,,,,,,,
453,0.508751,70.901649,,,,,,,,,,,,
454,0.517138,67.766525,,,,,,,,,,,,
455,0.519345,64.762253,,,,,,,,,,,,
456,0.526593,63.069561,,,,,,,,,,,,
457,0.532218,61.613163,,,,,,,,,,,,
458,0.536703,60.594982,,,,,,,,,,,,
459,0.54509,58.800465,,,,,,,,,,,,
460,0.546497,55.900433,,,,,,,,,,,,
461,0.549381,53.138641,,,,,,,,,,,,
462,0.554715,50.695587,,,,,,,,,,,,
463,0.559054,48.67683,,,,,,,,,,,,
464,0.564314,47.915619,,,,,,,,,,,,
465,0.573188,46.958618,,,,,,,,,,,,
466,0.581745,46.629555,,,,,,,,,,,,
467,0.595951,47.096806,,,,,,,,,,,,
468,0.612242,47.987133,,,,,,,,,,,,
469,0.625721,48.853165,,,,,,,,,,,,
470,0.640921,49.890739,,,,,,,,,,,,
471,0.661235,51.360466,,,,,,,,,,,,
472,0.685503,53.130737,,,,,,,,,,,,
473,0.712144,55.040459,,,,,,,,,,,,
474,0.741212,56.522259,,,,,,,,,,,,
475,0.768823,57.353188,,,,,,,,,,,,
476,0.799515,57.810738,,,,,,,,,,,,
477,0.824363,58.114979,,,,,,,,,,,,
478,0.856969,58.216225,,,,,,,,,,,,
479,0.89743,58.724682,,,,,,,,,,,,
480,0.936702,59.661072,,,,,,,,,,,,
481,0.970448,61.021648,,,,,,,,,,,,
482,1.012169,63.526524,,,,,,,,,,,,
483,1.039223,65.491379,,,,,,,,,,,,
484,1.076363,68.730736,,,,,,,,,,,,
