Wavelength,AKL,QDL,,,OFFSET:,Wavelength,Mit QDL,D QDL,,PHI Ref,D REF,Referenz,,Korrekturfaktoren
485,1.112944,72.058647,,,,,,,,,,,,
486,1.144169,74.627701,,,,,,,,,,,,
487,1.16989,75.931374,,,,,,,,,,,,
488,1.196897,75.969521,,,,,,,,,,,,
489,1.21726,74.759254,,,,,,,,,,,,
490,1.227902,73.446533,,,,,,,,,,,,
491,1.245163,71.009521,,,,,,,,,,,,
492,1.257526,67.71804,,,,,,,,,,,,
493,1.27086,63.878613,,,,,,,,,,,,
494,1.281623,60.166523,,,,,,,,,,,,
495,1.29166,57.04953,,,,,,,,,,,,
496,1.299272,54.77137,,,,,,,,,,,,
497,1.303442,53.12468,,,,,,,,,,,,
498,1.307442,51.946495,,,,,,,,,,,,
499,1.310302,50.279251,,,,,,,,,,,,
500,1.319151,48.603462,,,,,,,,,,,,
501,1.322739,46.795616,,,,,,,,,,,,
502,1.325939,45.242252,,,,,,,,,,,,
503,1.328435,43.768955,,,,,,,,,,,,
504,1.337212,42.52589,,,,,,,,,,,,
505,1.346618,41.86771,,,,,,,,,,,,
506,1.362084,41.150772,,,,,,,,,,,,
507,1.379224,40.593769,,,,,,,,,,,,
508,1.395175,40.215012,,,,,,,,,,,,
509,1.413406,40.008316,,,,,,,,,,,,
510,1.435611,39.850159,,,,,,,,,,,,
511,1.466133,40.015583,,,,,,,,,,,,
512,1.502375,40.322887,,,,,,,,,,,,
513,1.528557,40.617435,,,,,,,,,,,,
514,1.572121,41.125893,,,,,,,,,,,,
515,1.618884,41.60289,,,,,,,,,,,,
516,1.666303,42.163464,,,,,,,,,,,,
517,1.717769,42.695007,,,,,,,,,,,,
518,1.772048,43.405888,,,,,,,,,,,,
519,1.824072,43.950768,,,,,,,,,,,,
520,1.875176,44.539227,,,,,,,,,,,,
521,1.922132,44.966522,,,,,,,,,,,,
522,1.951417,45.23077,,,,,,,,,,,,
523,1.991054,45.521042,,,,,,,,,,,,
524,2.023393,45.619858,,,,,,,,,,,,
525,2.053794,45.727104,,,,,,,,,,,,
526,2.078254,45.850163,,,,,,,,,,,,
527,2.096776,45.862862,,,,,,,,,,,,
528,2.108944,45.97501,,,,,,,,,,,,
529,2.115612,46.476189,,,,,,,,,,,,
530,2.117769,47.394405,,,,,,,,,,,,
531,2.117041,48.53986,,,,,,,,,,,,
532,2.114133,50.736801,,,,,,,,,,,,
533,2.110714,53.128944,,,,,,,,,,,,
534,2.108121,55.467712,,,,,,,,,,,,
535,2.10235,57.619858,,,,,,,,,,,,
536,2.097915,59.9865,,,,,,,,,,,,
537,2.093575,63.142284,,,,,,,,,,,,
538,2.087078,66.877411,,,,,,,,,,,,
539,2.084266,70.708351,,,,,,,,,,,,
540,2.079418,74.272552,,,,,,,,,,,,
541,2.079273,76.494385,,,,,,,,,,,,
542,2.077648,80.198044,,,,,,,,,,,,
543,2.076994,86.536804,,,,,,,,,,,,
544,2.074617,100.45137,,,,,,,,,,,,
545,2.076121,122.242249,,,,,,,,,,,,
546,2.078447,146.533783,,,,,,,,,,,,
547,2.084558,167.830154,,,,,,,,,,,,
548,2.092387,179.599243,,,,,,,,,,,,
549,2.097163,183.028931,,,,,,,,,,,,
550,2.098254,179.951996,,,,,,,,,,,,
551,2.103079,172.607101,,,,,,,,,,,,
552,2.117139,162.093796,,,,,,,,,,,,
553,2.120823,153.804108,,,,,,,,,,,,
554,2.134982,141.03862,,,,,,,,,,,,
555,2.149308,128.505905,,,,,,,,,,,,
556,2.160751,116.961044,,,,,,,,,,,,
557,2.18235,106.913193,,,,,,,,,,,,
558,2.198012,98.136803,,,,,,,,,,,,
559,2.211248,90.871971,,,,,,,,,,,,
560,2.224048,85.118614,,,,,,,,,,,,
561,2.232751,80.524094,,,,,,,,,,,,
562,2.241842,76.733162,,,,,,,,,,,,
563,2.251102,73.241684,,,,,,,,,,,,
564,2.255661,69.907707,,,,,,,,,,,,
565,2.259854,67.924675,,,,,,,,,,,,
566,2.265841,65.156837,,,,,,,,,,,,
567,2.263636,62.881042,,,,,,,,,,,,
568,2.263927,62.088947,,,,,,,,,,,,
569,2.258764,62.548927,,,,,,,,,,,,
570,2.254375,64.848946,,,,,,,,,,,,
571,2.248848,69.048317,,,,,,,,,,,,
572,2.242181,74.704712,,,,,,,,,,,,
573,2.231345,81.102867,,,,,,,,,,,,
574,2.221526,87.291374,,,,,,,,,,,,
575,2.210958,92.147705,,,,,,,,,,,,
576,2.202351,95.154404,,,,,,,,,,,,
577,2.192994,95.94165,,,,,,,,,,,,
578,2.179854,94.519264,,,,,,,,,,,,
579,2.165697,91.313782,,,,,,,,,,,,
580,2.153211,86.784698,,,,,,,,,,,,
581,2.142642,83.422287,,,,,,,,,,,,
582,2.132436,78.43013,,,,,,,,,,,,
583,2.122254,73.524101,,,,,,,,,,,,
584,2.113745,68.850739,,,,,,,,,,,,
585,2.104799,64.572594,,,,,,,,,,,,
586,2.097576,60.387703,,,,,,,,,,,,
587,2.092823,56.739857,,,,,,,,,,,,
588,2.083224,53.444683,,,,,,,,,,,,
589,2.077672,50.455013,,,,,,,,,,,,
590,2.071636,47.868919,,,,,,,,,,,,
591,2.064314,45.424706,,,,,,,,,,,,
592,2.064169,43.208313,,,,,,,,,,,,
593,2.059975,41.361679,,,,,,,,,,,,
594,2.059515,39.687103,,,,,,,,,,,,
595,2.058641,38.18713,,,,,,,,,,,,
596,2.059733,36.805889,,,,,,,,,,,,
597,2.061357,35.270767,,,,,,,,,,,,
598,2.060145,33.785286,,,,,,,,,,,,
599,2.060799,32.390766,,,,,,,,,,,,
600,2.0592,31.085892,,,,,,,,,,,,
601,2.060969,30.013798,,,,,,,,,,,,
602,2.062812,28.985285,,,,,,,,,,,,
603,2.064266,27.985918,,,,,,,,,,,,
604,2.06497,27.093161,,,,,,,,,,,,
605,2.061503,26.501646,,,,,,,,,,,,
606,2.056241,25.731375,,,,,,,,,,,,
607,2.044824,24.987709,,,,,,,,,,,,
608,2.033648,24.190771,,,,,,,,,,,,
609,2.018569,23.444679,,,,,,,,,,,,
610,1.998908,22.582285,,,,,,,,,,,,
611,1.986933,22.020435,,,,,,,,,,,,
612,1.97709,21.476828,,,,,,,,,,,,
613,1.973552,20.978012,,,,,,,,,,,,
614,1.975078,20.593191,,,,,,,,,,,,
615,1.976339,20.163464,,,,,,,,,,,,
616,1.983102,19.796829,,,,,,,,,,,,
617,1.995321,19.645887,,,,,,,,,,,,
618,2.011417,19.440464,,,,,,,,,,,,
619,2.033576,19.391344,,,,,,,,,,,,
620,2.061478,19.325314,,,,,,,,,,,,
621,2.083684,19.251949,,,,,,,,,,,,
622,2.106933,19.172585,,,,,,,,,,,,
623,2.129624,19.133162,,,,,,,,,,,,
624,2.150399,19.074402,,,,,,,,,,,,
625,2.166133,18.976797,,,,,,,,,,,,
626,2.179635,18.868341,,,,,,,,,,,,
627,2.182909,18.637405,,,,,,,,,,,,
628,2.179441,18.446526,,,,,,,,,,,,
629,2.17183,18.163467,,,,,,,,,,,,
630,2.163418,17.909557,,,,,,,,,,,,
631,2.154667,17.599829,,,,,,,,,,,,
632,2.140775,17.307131,,,,,,,,,,,,
633,2.125527,16.965889,,,,,,,,,,,,
634,2.109138,16.682892,,,,,,,,,,,,
635,2.091879,16.358616,,,,,,,,,,,,
636,2.07532,16.046526,,,,,,,,,,,,
637,2.058836,15.771952,,,,,,,,,,,,
638,2.041793,15.447739,,,,,,,,,,,,
639,2.024339,15.117405,,,,,,,,,,,,
640,2.008314,14.827132,,,,,,,,,,,,
641,1.989309,14.538011,,,,,,,,,,,,
642,1.978326,14.279253,,,,,,,,,,,,
643,1.96126,14.07377,,,,,,,,,,,,
644,1.944363,13.810161,,,,,,,,,,,,
645,1.930618,13.561042,,,,,,,,,,,,
646,1.915199,13.314404,,,,,,,,,,,,
647,1.903588,13.033768,,,,,,,,,,,,
648,1.895902,12.876828,,,,,,,,,,,,
649,1.886957,12.627709,,,,,,,,,,,,
650,1.881987,12.522889,,,,,,,,,,,,
651,1.870085,12.254375,,,,,,,,,,,,
652,1.864484,12.07198,,,,,,,,,,,,
653,1.858036,11.914981,,,,,,,,,,,,
654,1.849623,11.693798,,,,,,,,,,,,
655,1.842473,11.545283,,,,,,,,,,,,
656,1.830738,11.367737,,,,,,,,,,,,
657,1.819223,11.096223,,,,,,,,,,,,
658,1.815879,10.985284,,,,,,,,,,,,
659,1.809308,10.867131,,,,,,,,,,,,
660,1.805018,10.678617,,,,,,,,,,,,
661,1.800945,10.585919,,,,,,,,,,,,
662,1.795418,10.433768,,,,,,,,,,,,
663,1.789575,10.322888,,,,,,,,,,,,
664,1.783878,10.146497,,,,,,,,,,,,
665,1.776945,9.993192,,,,,,,,,,,,
666,1.770254,9.864072,,,,,,,,,,,,
667,1.762811,9.702282,,,,,,,,,,,,
668,1.75246,9.642252,,,,,,,,,,,,
669,1.745502,9.492585,,,,,,,,,,,,
670,1.737697,9.359828,,,,,,,,,,,,
671,1.727102,9.184706,,,,,,,,,,,,
672,1.719539,9.031343,,,,,,,,,,,,
673,1.712144,8.840465,,,,,,,,,,,,
674,1.704048,8.693161,,,,,,,,,,,,
675,1.697284,8.567737,,,,,,,,,,,,
676,1.683588,8.450738,,,,,,,,,,,,
677,1.670496,8.326524,,,,,,,,,,,,
678,1.651078,8.18892,,,,,,,,,,,,
679,1.633842,7.97801,,,,,,,,,,,,
680,1.618569,7.806525,,,,,,,,,,,,
681,1.604,7.628921,,,,,,,,,,,,
682,1.591951,7.430768,,,,,,,,,,,,
683,1.573721,7.250738,,,,,,,,,,,,
684,1.555514,7.105919,,,,,,,,,,,,
685,1.539054,6.971951,,,,,,,,,,,,
686,1.521284,6.856223,,,,,,,,,,,,
687,1.508485,6.687102,,,,,,,,,,,,
688,1.492145,6.505919,,,,,,,,,,,,
689,1.475224,6.367101,,,,,,,,,,,,
690,1.461357,6.223495,,,,,,,,,,,,
691,1.44206,6.082254,,,,,,,,,,,,
692,1.427272,5.941071,,,,,,,,,,,,
693,1.413357,5.819224,,,,,,,,,,,,
694,1.392,5.727102,,,,,,,,,,,,
695,1.379151,5.628344,,,,,,,,,,,,
696,1.36543,5.500435,,,,,,,,,,,,
697,1.348532,5.333797,,,,,,,,,,,,
698,1.329163,5.146496,,,,,,,,,,,,
699,1.316702,5.027131,,,,,,,,,,,,
700,1.299563,4.88589,,,,,,,,,,,,
701,1.290448,4.821071,,,,,,,,,,,,
702,1.28177,4.688314,,,,,,,,,,,,
703,1.269866,4.584707,,,,,,,,,,,,
704,1.259394,4.399829,,,,,,,,,,,,
705,1.250811,4.280465,,,,,,,,,,,,
706,1.233745,4.132586,,,,,,,,,,,,
707,1.220775,4.056799,,,,,,,,,,,,
708,1.208048,3.914404,,,,,,,,,,,,
709,1.192897,3.76589,,,,,,,,,,,,
710,1.185017,3.667131,,,,,,,,,,,,
711,1.175103,3.562254,,,,,,,,,,,,
712,1.170569,3.487737,,,,,,,,,,,,
713,1.164,3.442253,,,,,,,,,,,,
714,1.159272,3.353192,,,,,,,,,,,,
715,1.153357,3.30286,,,,,,,,,,,,
716,1.142739,3.130738,,,,,,,,,,,,
717,1.133866,3.017435,,,,,,,,,,,,
718,1.115176,2.888314,,,,,,,,,,,,
719,1.102932,2.773798,,,,,,,,,,,,
720,1.093794,2.727102,,,,,,,,,,,,
721,1.08286,2.645313,,,,,,,,,,,,
722,1.07663,2.511344,,,,,,,,,,,,
723,1.06332,2.410162,,,,,,,,,,,,
724,1.051078,2.251374,,,,,,,,,,,,
725,1.042109,2.170738,,,,,,,,,,,,
726,1.034448,2.103495,,,,,,,,,,,,
727,1.027879,1.996193,,,,,,,,,,,,
728,1.022714,1.961677,,,,,,,,,,,,
729,1.016945,1.884678,,,,,,,,,,,,
730,1.013454,1.833192,,,,,,,,,,,,
731,1.010472,1.74286,,,,,,,,,,,,
732,1.009842,1.618011,,,,,,,,,,,,
733,1.003854,1.56895,,,,,,,,,,,,
734,0.998909,1.500436,,,,,,,,,,,,
735,0.992605,1.423495,,,,,,,,,,,,
736,0.987588,1.352557,,,,,,,,,,,,
737,0.984169,1.239253,,,,,,,,,,,,
738,0.978618,1.194981,,,,,,,,,,,,
739,0.97229,1.116828,,,,,,,,,,,,
740,0.965551,1.087737,,,,,,,,,,,,
741,0.960654,1.066496,,,,,,,,,,,,
742,0.956484,1.047737,,,,,,,,,,,,
743,0.950885,1.015587,,,,,,,,,,,,
744,0.941017,0.985919,,,,,,,,,,,,
745,0.933212,0.954981,,,,,,,,,,,,
746,0.921139,0.856799,,,,,,,,,,,,
747,0.912678,0.834404,,,,,,,,,,,,
748,0.902278,0.825284,,,,,,,,,,,,
749,0.894641,0.813798,,,,,,,,,,,,
750,0.888169,0.774375,,,,,,,,,,,,
751,0.881187,0.730162,,,,,,,,,,,,
752,0.875757,0.667708,,,,,,,,,,,,
753,0.868557,0.670132,,,,,,,,,,,,
754,0.868435,0.662283,,,,,,,,,,,,
755,0.867491,0.660435,,,,,,,,,,,,
756,0.869478,0.652586,,,,,,,,,,,,
757,0.869285,0.615587,,,,,,,,,,,,
758,0.868872,0.647737,,,,,,,,,,,,
759,0.870302,0.657434,,,,,,,,,,,,
760,0.874254,0.674981,,,,,,,,,,,,
761,0.878447,0.663495,,,,,,,,,,,,
762,0.883903,0.659223,,,,,,,,,,,,
763,0.88926,0.687737,,,,,,,,,,,,
764,0.888629,0.71198,,,,,,,,,,,,
765,0.889018,0.712557,,,,,,,,,,,,
766,0.887708,0.692586,,,,,,,,,,,,
767,0.882085,0.693163,,,,,,,,,,,,
768,0.876145,0.673192,,,,,,,,,,,,
769,0.865066,0.653162,,,,,,,,,,,,
770,0.847709,0.569526,,,,,,,,,,,,
771,0.83229,0.530161,,,,,,,,,,,,
772,0.817018,0.529526,,,,,,,,,,,,
773,0.806108,0.589556,,,,,,,,,,,,
774,0.798036,0.602254,,,,,,,,,,,,
775,0.781527,0.578011,,,,,,,,,,,,
776,0.768823,0.554404,,,,,,,,,,,,
777,0.753866,0.54892,,,,,,,,,,,,
778,0.737454,0.526525,,,,,,,,,,,,
779,0.723806,0.504072,,,,,,,,,,,,
780,0.704751,0.434981,,,,,,,,,,,,
781,0.691344,0.394404,,,,,,,,,,,,
782,0.672072,0.390132,,,,,,,,,,,,
783,0.65806,0.387131,,,,,,,,,,,,
784,0.649479,0.416799,,,,,,,,,,,,
785,0.635515,0.370738,,,,,,,,,,,,
786,0.62366,0.341071,,,,,,,,,,,,
787,0.6112,0.374375,,,,,,,,,,,,
788,0.597793,0.393192,,,,,,,,,,,,
789,0.581526,0.404101,,,,,,,,,,,,
790,0.571151,0.414375,,,,,,,,,,,,
791,0.55966,0.330162,,,,,,,,,,,,
792,0.549745,0.322254,,,,,,,,,,,,
793,0.541187,0.287737,,,,,,,,,,,,
794,0.528557,0.258646,,,,,,,,,,,,
795,0.517066,0.278617,,,,,,,,,,,,
796,0.507005,0.270768,,,,,,,,,,,,
797,0.499491,0.271345,,,,,,,,,,,,
798,0.4872,0.258011,,,,,,,,,,,,
799,0.477526,0.222283,,,,,,,,,,,,
800,0.47103,0.201042,,,,,,,,,,,,
